-19.8927130,-43.9952848
-19.9469244,-43.9719725
,
-19.9182822,-43.9477147
-19.8910583,-44.0047802
-19.9474918,-43.9354287
-19.9132540,-43.9719321
-19.9698998,-43.9656770
-19.8633295,-43.9459414
-19.8396625,-43.9813567
-19.8475324,-43.9828181
-19.9296111,-43.9598277
-19.8324239,-43.9577422
-19.9188101,-43.9345824
-19.8926606,-43.9246059
-19.9014096,-43.9756523
-19.8985760,-43.9006901
-19.9162948,-43.9182816
-19.8468396,-43.9367960
-19.9615872,-43.9847596
-19.9443440,-43.9723597
-19.8886426,-43.9960496
-19.9243440,-43.9592689
-19.8396478,-43.9332774
-19.9356623,-43.9595796
-19.8828976,-43.9096206
-19.8886426,-43.9960496
-19.9209422,-43.9391196
-19.8517855,-43.8879409
-19.8212767,-43.9664315
-19.8900825,-43.9468716
-19.9810622,-44.0133834
-19.8000554,-43.9839421
-19.8400936,-43.9776251
-19.9454273,-43.9424196
-19.9756214,-43.9751097
-19.9163450,-43.9073823
-19.8315762,-43.9547337
-19.9385008,-43.9677078
-19.9866874,-44.0020140
-19.9248113,-43.9375775
-19.9182962,-43.9246508
-19.8387570,-43.9464948
,
-19.8414871,-43.9890445
-19.9119307,-43.9157622
-19.9108210,-43.9262772
-19.9761639,-44.0131047
-19.8861309,-43.9084077
-19.8421348,-43.9759104
-19.8808275,-44.0115442
-19.9453396,-43.9286133
-19.8881972,-43.9968750
-19.9090992,-43.9683517
-19.8316642,-43.9761610
-19.8927130,-43.9952848
-19.8066128,-43.9563356
-19.9245867,-43.9222647
-19.8858478,-44.0058863
-19.8373712,-43.9480678
-19.9489897,-43.9322579
-19.9307670,-43.9636541
-19.8388542,-43.9773720
-19.9514617,-43.9301340
-19.9296111,-43.9598277
-19.8396478,-43.9332774
-19.9388489,-43.9752421
-19.9670754,-43.9768478
-19.9121372,-43.9210181
-19.8845104,-43.9292189
-19.9354463,-43.9772205
-19.8614898,-43.9437183
-19.8366877,-43.9683649
-19.8930163,-43.9460919
-19.9562574,-43.9995957
-19.8307182,-43.9654983
-19.9162948,-43.9182816
-19.9160217,-43.9899947
-19.8023696,-43.9976604
-19.8803447,-44.0025815
-19.8893745,-43.9301626
-19.8222794,-43.9786635
-19.9254737,-43.9917045
-19.8543191,-43.9568613
-19.8999841,-43.9522977
-19.9407705,-44.0148074
-19.9503283,-43.9286988
,
-19.8218491,-43.9520824
-19.8545889,-44.0040585
